Order,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinomycetales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.081120350790697e-05,0.0,0.00019748611788759557,0.0009831651868770137,0.00015380474487637942,3.838366391263879e-05,9.393861111763468e-05,0.0003454753524928206,0.0,0.0,0.0006760264133177205,0.0003199385717942152,0.0002664535038635758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024205055034651443,0.0,0.0001928055968710406,0.00015592110392141574,0.00015694107575973747,0.0,0.0,0.00021676300578034685,0.0,0.0,0.0,0.0,0.0,0.0003096874092712668,0.0002604118226967505,0.0029686753565822703,0.0,0.0,0.0,0.0002462750892747198,0.003167341193031849,0.0,0.0,0.0,0.00036191353556623026,0.0,0.0007701075070079782,0.0,0.0005636978579481401,0.0006144837432903796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroidales,0.023714016045304376,0.09814438967816756,0.058339514185054765,0.14134805708928014,0.22318754042891947,0.16254026691210313,0.12727272727272718,0.12991191313259717,0.004445356312405964,0.0021955809576915037,0.004794820988307898,0.34611835275118225,0.3149283664872232,0.12305958056410143,0.34357523805411005,0.3630737134909596,0.19477904908901789,0.45095790528387086,0.14523078235645412,0.28355981881161735,0.2821546865012494,0.4452474960405095,0.0,0.6769889041989994,0.1387828628295731,0.0,0.2223872374062808,0.3487962289918279,0.14786593938030707,0.09973169445272545,0.46558295511171593,0.21753974724826733,0.3835577786328076,0.3914779926183001,0.0,0.0011271222713653873,0.05941550389620558,0.4455688439129102,0.438692196531792,0.0,0.2848019491306435,0.2781219332679096,0.06424314852796303,0.35799712964439495,0.33001064550469356,0.5104629750190659,0.05224186173479834,0.12408599803557786,0.4273245805845298,0.21712268314210062,0.012477937856585804,0.0035192679922576107,0.39903199784888416,0.3510846332257038,0.0936144176215374,0.42366914522603144,0.1630404356566659,0.10029880171271909,0.018498606569967747,0.17047048148046312,0.0951124445006717,0.033032395114179366,0.11455469779702505,0.1674225610344494,0.07368305289783349,0.4014853499728706,0.2175619067819079,0.38621928249156784,0.5987496258854046
Bifidobacteriales,0.0060169891458234995,0.004680445677836225,0.009248099388095692,0.017001771017814353,0.007523510971786827,0.0030372756557754265,0.00482301677311526,0.00564326764656279,0.0,0.0004065890662391673,9.07537095578782e-05,0.00011535355865728458,0.0,0.0,0.001058018267009263,0.004126101066295782,0.0011072710800926083,0.0008329611164093342,0.0340414640389045,0.0,0.007658783194839912,0.0005242142363202392,0.0,0.0037892523025600125,0.08665583311288315,0.0,0.058088006323807714,0.017753695015308702,0.0027273238486194683,0.014516018070493268,0.00033669580207673985,0.028600183448838155,0.011055534179812747,0.012119208946179695,0.0,0.023355685547153657,0.09012830720634878,0.00045998160073597056,0.004479768786127168,0.0,0.012182066521466278,0.016345682041216874,0.0,0.0,0.0007355075970192586,0.0007626346236119121,0.0,0.0,0.01037489183128472,0.0,0.0,0.0,0.0,0.0038655691482104683,0.0,0.0011515430677107325,0.03949410896506096,0.1067369004713058,0.012112966579623009,1.3748728242637559e-05,0.03219412866807636,0.005576208178438639,0.005498022971191866,0.01984624786902119,0.009787748817771913,0.005798969072164952,0.003154992311363275,0.0036138245214420257,0.0027268797180007324
Burkholderiales,0.0016910492370615065,0.0017189247400902952,0.0008112367884294465,0.005958954057714344,0.006568144499178976,0.007731247123791995,0.0037963349847788424,0.003917854779912558,0.03672548215018465,0.012557793731558282,0.0,0.0,0.002725240137797355,0.005847678542072759,0.008960766955282536,0.019610570236439508,0.01774989095057545,0.0079312384562454,0.005310980291783972,0.005613287148059331,0.005555232727061424,0.02405808739878204,0.0,0.049350931902240935,0.00171321315646927,0.0,0.0038805183606007627,0.008304147668450845,0.006860484732609796,0.004746944297933818,0.013817995717229406,0.0029937831227068888,0.00700269334359369,0.0034154134302870048,0.0,0.00018547581680696248,0.008484199809431818,0.013646120821833793,0.025325144508670523,0.03976052848885219,0.0109269445162243,0.002729391560353287,0.0,0.0064423536915962365,0.058105100164521424,0.02583657298041332,0.001910871493892036,0.05178435010367783,0.009993393566636585,0.008508384819064428,0.005705372901531009,0.0,0.0,0.010095957069443813,0.0027811769941039036,0.007567283016384815,0.0018322009313688074,0.012506545913809567,0.002347984463803735,0.005657601671845356,0.0037170242118643552,0.0018233315631085074,0.003539823008849558,0.006819132168934347,0.0011364052934491734,0.006104177970699949,0.009783127419269316,0.008585570984274388,0.007814838216221611
Clostridiales,0.7628598395469562,0.8600836681439754,0.8919432597811976,0.77349723929576,0.7395133602030158,0.7595029912563276,0.841795499313556,0.8418068834892259,0.0,0.3355637647824168,0.09045119719268524,0.4294420732879611,0.6262486685666578,0.5849322467767312,0.367153930861745,0.17899860917941593,0.012750394255611851,0.46540796986853694,0.7725450046924325,0.480699884536815,0.5852402812481841,0.44676437127752117,0.38866767680327,0.15385452172021177,0.55162944207198,0.0003959455178967374,0.3526720482908951,0.2957333861979338,0.6527863690041051,0.5187928543582452,0.3647223606416073,0.29563289849164304,0.2421444145184044,0.4879634220239078,0.0007016449676463709,0.34601226993865025,0.691514494929059,0.4852805887764489,0.29617052023121376,0.4182906688687037,0.3793421684078407,0.6335561825318939,0.012451349299914406,0.4498804018497848,0.26635052743636917,0.010230464463086626,0.49474510339179706,0.5828604168940303,0.20394338937946044,0.027961165048543686,0.7257726880925996,0.1465775118775295,0.0012292090807820841,0.36631952339806273,0.8392479697407943,0.35381983286174906,0.4249942743720895,0.668330098881804,0.5921748480393232,0.6204044875848983,0.3631418192333412,0.7618516551602063,0.8508002259461495,0.7441217150760718,0.8873492430074418,0.5654842647856752,0.7008059812291214,0.5722107845284506,0.36014765056034037
Coriobacteriales,0.0019270095957212516,0.00200886385287661,0.006443537919525318,0.0011251171997083028,7.961387271732091e-05,0.001380579843534285,0.0005610935354861811,0.0019848734481013952,0.0,0.0,0.002057084083311906,0.00017303033798592686,0.0007580773622746161,0.0013621098612057027,0.002763802819942565,0.003407510431154382,0.0,0.00045873220903702467,0.0016210220970906907,0.0019539923616662225,0.0013481317915044458,0.0016395636752994716,0.0,0.00036260787584306336,0.007948805159794922,0.0,0.0016528133758114362,0.00019824225203198304,0.004920429623798009,0.0038755245717430682,0.0003097601379106007,0.0015669588259274356,0.0,0.00093648432765934,0.0,0.0025395919532030247,0.0,0.0013799448022079116,0.00016257225433526014,0.0,0.001919598360958323,0.000705348380765456,0.0,0.0016265348429277625,0.00013548824155617923,3.7201688956678645e-05,0.003821742987784072,0.00016370184437411326,0.00024192572880125804,0.0,0.003037392767721544,0.0,0.0,0.0008640683978352812,0.0,0.0,0.005140341501895821,0.0,0.007022009611375655,0.0034784282453873025,0.002524202827830089,0.002018056293149222,0.002636038410845415,0.0003538228955579143,0.007624912936691228,0.0,0.0005302508086324833,0.0002628236015594201,0.00049881946060989
Desulfovibrionales,0.0035787321063394674,0.0,0.0002317819395512704,0.0011251171997083028,0.0005971040453799069,0.0023009664058904747,0.0,0.00011675726165302326,0.0,0.0,0.0,0.012246702810781713,0.011994894972699623,0.019727108334703283,0.010169930689007409,0.013977746870653689,0.008052880582491696,0.0025833866508927173,0.0035193242897363676,0.004654054534150458,0.010901272589923882,0.008130897410158603,0.02191761513795412,0.011367756907680038,0.004169658491112708,0.0,0.0034972572879488355,0.0025551223595233364,0.007928920879491649,0.006443919554200013,0.008201909738589384,0.004675397472482673,0.011953315377709375,0.004324354101250483,0.09889296016215796,0.018861463832215725,0.005390730032762063,0.005366452008586323,0.008742774566473991,0.013583815028901734,0.005611133670493559,0.005090775269872423,0.0,0.01170467230106841,0.020149037065711792,0.011346515131786986,0.0054255101344434595,0.00828058496125723,0.0027356217025988412,0.012850838481906443,0.0038583097319706103,0.0,0.05804171628317904,0.006230387921233344,0.015407720547335626,0.005264196880963349,0.007023436903580428,0.008871638480731912,0.0018432775229861097,0.008125498391398797,0.00779550944919364,0.007204815011506433,0.0,0.0014796230177876414,0.00025660764690787786,0.0004747693977211072,0.004109443766901746,0.0,0.0
Erysipelotrichales,0.002752870851030359,0.003210040177277057,0.005029668088262568,0.001958537347640379,0.003164651440513507,0.018867924528301893,0.0034978809765415127,0.004164342332291163,0.0,0.05330963499918683,0.07729190930679292,0.01397700619064098,0.0016025179683526699,0.0014560484723233375,0.025370846198691517,0.015229485396383871,0.003590242593027547,0.028851841568381283,0.0011517788584591748,0.011741717736921573,0.005764425591260389,0.02839679671641126,0.053560731526833216,0.032634708825875706,0.01926105085471701,0.0,0.02795410448654994,0.028789180378422423,0.005032896586627678,0.016900956268489004,0.03706347389260753,0.006204137790460661,0.005078876490958059,0.018178813419269545,0.0,0.08432015979454986,0.10419902627491416,0.004753143207605029,0.012156791907514453,0.022213047068538397,0.009081176861456682,0.003220068694798821,0.0019864020283910143,0.02309041620156275,0.008361560050324204,0.0006510295567418763,0.0033099024090629905,0.10019917057732183,0.003014766774292601,0.0,0.012354800311948442,0.03378497272567306,0.0,0.03710946382282049,0.027811769941039035,0.010791603605974866,0.05341374659643231,0.0782429227120106,0.019310526431283056,0.006056314790881846,0.060906182790840556,0.0031687024252079884,0.00203351534550932,0.0011901315577857116,0.0016496205872649293,0.0016616928920238749,0.019672305000265126,0.004424197292916905,0.006983472448538462
Fusobacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6420234350066111,0.06046560256499617,0.6599761015231498,0.022070980889760446,0.00635249637754172,0.0011742326389704335,0.0022024053721417317,0.015855354659248963,0.2009864778713552,0.0004225165083235753,0.0,0.003765876187938538,3.4865477366494294e-05,0.0023087733386870112,0.0,0.0,0.0,0.0,0.0,0.00019824225203198304,0.0,0.0,0.0,0.0,0.0119276644863409,0.0,0.0,0.0008132401198459124,0.0,0.0,0.0055455202312138735,0.0,0.0,0.0,0.10477866959512928,0.0,0.00042582018774799183,0.0,0.015935303350849656,0.0,0.005685254626829565,0.0,0.0,0.0,0.14677524680213574,0.0,0.0017799532762264984,0.0,0.0,0.0,0.0,0.0034990513377512592,0.0001686818118836336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lactobacillales,0.0,0.015739551836971375,0.01826441683664011,0.004187936243358682,0.002099815892919339,0.0,0.008308959589327279,0.005734078850070698,0.09082204896730954,0.024406960804814012,0.06783839789451393,0.0029030645595416616,0.009020161019470117,0.010074916042366319,0.01798631053915747,0.004265183124710247,0.035667550246619474,0.024542173183480814,0.008275744390410369,0.0068745003996802554,0.03975826602359233,0.014276472818934176,0.0732936326156665,0.010678801943578217,0.0009321895116082793,0.39155052264808365,0.0,0.0003524306702790809,0.002952257774278806,0.0008484876281330977,0.003824864311591765,0.0014268242967794536,0.007053995126330639,0.01506638021263703,0.0925001949013799,0.006605792552432586,0.004659783587641782,0.0021465808034345293,0.004335260115606938,0.007844756399669695,0.0011812912990512756,0.013585623159960742,0.04163369454627672,0.007749960133949929,0.01587147972515242,0.026915421960157,0.0031051661775745583,0.006466222852777474,0.005973704534246449,0.01616946160635481,0.028321635266592777,0.5108217490761922,0.0786693811700534,0.004820592114238937,0.0026143063744576696,0.007698887938408899,0.0005089447031580021,0.0072698148661553144,0.0004169318206754296,0.002653504550829049,0.0013313814437958225,0.0,0.011673884390886837,0.0014474573000096492,0.006488507643242055,0.0007799782962561046,0.0002121003234529933,0.0025844320820009644,0.0010308935519271064
