Phylum,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinobacteria,0.006528554345366987,0.006685294422022146,0.015710556107478707,0.017961475731362385,0.0075636824441386325,0.004027183488547698,0.0053834033613445334,0.007717150231514501,0.0,0.0013117722856181005,0.003732629780089644,0.0004414756804483857,0.0009106245926153142,0.0014534542982394458,0.004373963069099998,0.007533611497450163,0.0010980966325036606,0.0038999963888922285,0.03591348405500912,0.0024853982850751855,0.009683404847500873,0.00219687085298808,0.0,0.004150881835813591,0.09459000088131242,0.00043535045711797995,0.059830902253838254,0.01795193726734069,0.007647753472417476,0.018169460806524686,0.0006433453960595097,0.030409192825112105,0.011019354178917492,0.013248498870710081,0.00015205078496217738,0.025785861552800295,0.08782607590754882,0.0018399264029438818,0.004931002095224334,0.0,0.01409698132703521,0.017039011982470653,0.0,0.0016265348429277623,0.0012378152560730308,0.0010599523951204998,0.006790418344366343,0.00016370184437411323,0.01074468579933951,0.0,0.0032836678569962635,0.003103983445421624,0.0,0.004729637546045749,0.0,0.0015027768703038224,0.04463445046695677,0.10468534405183276,0.01910897815177613,0.004051975166199659,0.03493129880107921,0.005886792452830165,0.008126410835214445,0.020012746972594003,0.01733070636310566,0.005778003041054236,0.0032114966960861326,0.0038752900994000958,0.0032214141011590457
Bacteroidetes,0.02107236353059047,0.09808548069957569,0.0581521613566528,0.14005821995581888,0.22202972012394906,0.15160667841261855,0.12725601604278064,0.1298815838964474,0.004391397365161581,0.0021940262122285043,0.00475198249111814,0.34556029022227336,0.3145872474214948,0.12293410225754281,0.34284975544590723,0.36307371349095957,0.193165180354053,0.44965513920820394,0.14616596415038097,0.28351293294750507,0.2826394526266961,0.4451730175192088,0.0,0.6768293788178142,0.13870598159316103,0.0,0.22236593135493773,0.348796228991828,0.14786593938030704,0.098527412777526,0.46334271545369277,0.21753974724826733,0.38230255925139983,0.39147799261830024,0.0,0.0011155986104442626,0.057839163415966746,0.4455688439129101,0.4386605014088578,0.0,0.2847073584766404,0.2786307499004014,0.06366327918700489,0.35799712964439484,0.3297617205632058,0.5103205891103837,0.052241861734798355,0.12408599803557784,0.42722917344992806,0.21712268314210065,0.012477937856585804,0.003448870494912916,0.3978399908084716,0.35108463322570377,0.0936144176215374,0.4206795164978765,0.16304043565666587,0.09766632671426,0.01847347314443495,0.1703065765617274,0.0940316019559145,0.0286518010291594,0.11444695259593679,0.16586998087954105,0.07333625218914183,0.4000337894914685,0.19227392449517122,0.3860839865131147,0.5979542359934907
Firmicutes,0.7587990045570603,0.8920625064679706,0.9210082480419565,0.8020108594669366,0.7516260927244109,0.7308499035153955,0.8627530557677617,0.8568371357051142,0.31296025222384866,0.42619829817861,0.32908603037071466,0.480363929517448,0.6507035773168205,0.6014253229247248,0.4307168559177781,0.22107093184979135,0.203214428324238,0.5326745067828645,0.8085110912419639,0.5142821637167354,0.6904789516409602,0.5150491229244029,0.5737340991578279,0.23551269734814836,0.6036234529819834,0.9995646495428819,0.5290891236138054,0.45791757527698845,0.7295169543946466,0.5572949705482558,0.43038466693472693,0.35013249082755815,0.28190115818270134,0.555830992122514,0.29938799559052726,0.4637642274126585,0.8347289106872849,0.5179392824287029,0.3487645401343833,0.4753922378199834,0.4165252048121632,0.6920719561153504,0.2707849883972154,0.5355126774039228,0.314791892310073,0.0772277595953585,0.5519006346823175,0.7043953945214451,0.30466533327131473,0.06337157987643424,0.7965767762590815,0.9715468184169685,0.39496763816016245,0.42202919641639,0.8864167315607965,0.38686703691604046,0.5096826729775809,0.7751214829923812,0.6236933797909409,0.6410430745563429,0.4394494374661259,0.6946689536878229,0.8722723852520693,0.7702995538559593,0.9019264448336252,0.5779016725798273,0.6449101243010952,0.6007356482900558,0.3895254226030353
Fusobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6342303794617723,0.060422785368515156,0.6540796594162707,0.02203539483281508,0.00634561558222461,0.0011721405630963273,0.0021977548426019696,0.01585535465924896,0.19932117662717957,0.0004212959062074937,0.0,0.0037636031173995665,3.479067609880553e-05,0.0023083871399417893,0.0,0.0,0.0,0.0,0.0,0.00019824225203198307,0.0,0.0,0.0,0.0,0.011888630378646483,0.0,0.0,0.0008049255796876325,0.0,0.0,0.00554511957228524,0.0,0.0,0.0,0.10383291990077621,0.0,0.00042549899427510437,0.0,0.01593530335084966,0.0,0.00568398530164194,0.0,0.0,0.0,0.14633679292252308,0.0,0.0017799532762264984,0.0,0.0,0.0,0.0,0.0034956870501620793,0.00016676493886278221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proteobacteria,0.004330823179599883,0.0017178929938942355,0.0010396691541713849,0.0070194272973140345,0.007128077696046879,0.011578152529574635,0.004476222307104656,0.005162060154861802,0.048417970949217425,0.012548901245603244,0.008304726498673342,0.012687627164190566,0.017455235612131442,0.03542208781677101,0.025144900993299007,0.04853963838664813,0.03397444429655265,0.010484249551620773,0.008813386128496607,0.01455733281258323,0.01642119911863621,0.03527260156345836,0.021917615137954122,0.06070438108357954,0.010877913052236647,0.0,0.007377068812723051,0.010859270027974184,0.015042456278468197,0.01159945627548708,0.026310146093017035,0.007732878108438645,0.022166543093089252,0.00773976753153749,0.12126050100733646,0.029076171378540967,0.013506816940064293,0.019012572830420113,0.0340654576981432,0.053344343517753925,0.025278618348217593,0.008243694646195334,0.00902616627990718,0.018147025992664646,0.0781951106297385,0.0373028860458197,0.008325940080529585,0.06006493506493504,0.0128192008930648,0.021359223300970873,0.009727866026351433,0.020003448870494912,0.06085557810884302,0.016326344990677154,0.01818889754143953,0.019797451813132964,0.009771738300633638,0.02081708560801488,0.004185567462143625,0.014223119608812704,0.011381707077384886,0.006998284734133762,0.0035364936042136946,0.008221797323135754,0.0013864565090484528,0.0065551613448217635,0.013747054202670857,0.008954766387879318,0.007970509116269803
Tenericutes,0.17659416308458034,0.0006002276725654559,0.0029572811496430505,0.009125255486508246,0.005187656545456339,0.08499035153955872,0.00013130252100840325,0.00023346000700380005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006861104758236326,0.0002767488397837099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033076574535568634,0.0,0.0,0.0,0.0,0.0,0.0,0.00584490667208803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001487652484379649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017097606335113086,0.0008327306992746478,0.0,0.0007206627715141661,0.22179073756432152,0.0009405568096313016,0.00927342256214149,0.004706654991243431,0.0036154755870924167,0.12485559817014,0.00035030870955029116,0.0013284181860449675
Verrucomicrobia,0.032675091302802106,0.0008485977439718514,0.0011320841900977305,0.02382476206205999,0.006464770465998072,0.0169477305143049,0.0,0.00016861000505830005,0.0,0.4973242167094251,4.497144313361016e-05,0.1389112825828247,0.0099976994747134,0.23759289213962553,0.19471676973131374,0.34392675011590174,0.3692266737654732,0.002178701686387325,0.0003193255843658191,0.18139856912070176,0.0007422010901078514,0.0,0.40434828570421794,0.022802660914644092,0.1522026514913065,0.0,0.18133697396469553,0.16427674618383664,0.0999268964741607,0.31110104213864964,0.0793191261225037,0.39418569099062367,0.2907217549152455,0.031702748856938266,0.5791994526171742,0.47945321546586833,0.0002541263770473057,0.015639374425022994,0.16803337909110616,0.47126341866226257,0.25939183703594365,0.004014587355582113,0.5526926462350965,0.08671663211608992,0.2755879622466346,0.3739400476048795,0.3648058418071386,0.11128997053366799,0.23885762128471102,0.6981465136804943,0.17793375200098505,0.0018968787722021035,0.0,0.20583018782118323,0.0,0.1711532179026462,0.2728707025981627,0.0,0.3337058707514299,0.16687956705675513,0.4193185269891186,0.04200343053173225,0.0006772009029345372,0.026322498406628418,0.0013134851138353763,0.0061158979557357695,0.021001802134836652,0.0,0.0
