Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Dialister,3508,0,0,886,681,186,0,0,1445,727,0,0,0,0,0,0,605,209,1088,0,0,0,0,0,0,0,157,0,0,0,0,0,14,0,0,0,0,0,48,0,53,392,6084,1436,0,0,0,0,8640,0,0,0,0,0,171,0,0,15,0,0,0,6325,0,584,0,164,541,0,0
Dorea,633,167,261,92,76,121,160,218,0,0,0,505,423,50,482,295,110,637,409,1358,231,1247,0,100,1142,0,149,0,390,72,422,619,96,235,0,0,0,26,224,0,75,400,0,0,423,0,192,0,477,0,167,0,0,84,0,181,506,16,0,644,11,1210,106,23,102,24,407,40,17
Erysipelatoclostridium,0,36,37,0,0,0,19,14,0,3499,0,0,0,0,315,103,0,372,0,572,0,137,0,0,1439,0,776,1046,48,85,23,356,106,42,0,4825,57,24,37,151,91,0,0,422,41,0,0,0,30,0,15,45,0,51,278,0,1778,80,0,390,0,0,16,0,16,0,0,0,0
Erysipelotrichaceae_UCG-003,70,33,138,60,229,188,159,161,0,0,0,0,0,0,767,147,30,1837,0,0,0,631,0,0,19,0,244,91,0,45,2659,30,37,572,0,0,0,0,622,0,0,0,0,0,334,0,0,6930,0,0,0,0,0,736,0,312,235,0,27,148,0,44,11,14,0,26,634,34,21
Faecalibacterium,3635,5980,4138,5780,11275,1332,16631,15737,0,3261,0,124,22439,2401,461,637,26,7337,7071,4724,4956,6940,0,851,57,0,61,0,3054,484,2213,486,519,2293,0,0,0,892,4937,0,3190,4110,0,0,2657,0,1308,32,4647,0,0,0,0,2136,0,1860,19,0,243,4646,58,5475,2251,3496,1888,2003,4312,7293,3085
Faecalitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,0,36,0,99,77,0,0,0,48,0,10,0,0,7417,0,0,331,0,6,0,0,0,35,0,224,0,0,0,0,0,0,0,0,53,2360,139,0,8698,0,0,0,0,0,0,0,0
Family_XIII_AD3011_group,116,46,52,37,17,18,31,27,0,0,0,0,0,0,71,311,0,28,7,0,191,146,0,51,444,0,65,0,20,1358,80,848,46,25,0,0,2259,0,0,3,0,16,0,0,108,0,129,0,0,0,238,0,0,5,0,47,307,808,1370,1018,1723,216,0,13,12,10,64,8,2
Family_XIII_UCG-001,16,44,70,40,6,0,115,56,0,0,0,0,0,0,2,13,0,3,0,0,0,42,0,0,77,0,5,0,79,3,60,10,11,67,0,0,0,0,0,0,22,11,0,6,20,0,0,0,71,0,0,0,0,10,0,14,35,0,7,70,14,70,24,24,37,0,6,58,28
Flavonifractor,10,0,17,68,57,0,9,5,0,33,0,391,613,78,129,66,0,276,42,192,470,149,0,426,313,0,152,301,184,203,261,206,160,240,0,4365,1463,20,7,46,132,73,0,2110,312,0,194,104,248,0,471,67,0,31,3534,53,486,636,144,3007,2338,20,0,65,0,0,16,11,0
Fusicatenibacter,288,421,634,129,456,157,592,599,0,0,0,245,93,9,67,176,0,754,685,146,102,700,2052,433,157,0,80,0,20,0,472,128,68,92,0,0,96,33,761,30,811,384,0,0,101,0,0,0,0,0,0,0,0,320,0,169,166,150,0,175,0,168,210,0,323,50,402,121,78
Fusobacterium,0,0,0,0,0,0,0,0,28163,5205,43457,1148,662,50,102,684,5990,35,0,212,0,207,0,0,0,0,0,9,0,0,0,0,624,0,0,57,0,0,307,0,0,0,6488,0,22,0,467,24,611,0,0,0,3821,0,32,0,0,0,0,509,28,0,0,0,0,0,0,0,0
Holdemania,0,20,12,11,22,0,12,22,0,0,1846,356,140,43,61,110,77,22,24,17,86,132,33,81,20,0,0,0,31,43,59,44,13,36,0,0,0,0,14,18,0,37,0,0,57,0,15,0,95,0,42,0,0,29,0,16,0,0,17,155,12,60,0,17,11,0,0,0,0
Hungatella,0,0,0,8,0,0,0,0,0,0,0,131,461,63,495,34,0,6,15,118,1076,790,427,147,0,0,0,0,7,154,0,0,15,12,0,3769,238,0,0,73,11,121,0,16,0,0,0,0,17,0,0,0,0,0,0,7,0,53,130,131,989,0,0,0,0,0,0,0,0
Intestinibacter,16,20,8,0,71,3,32,13,0,259,0,81,384,170,32,85,0,309,675,291,174,39,0,396,164,0,185,46,0,437,26,655,182,206,0,2620,237,0,0,122,39,146,0,294,0,0,15,2107,33,0,735,0,0,0,177,0,137,85,964,80,310,93,10,0,0,0,42,22,7
Intestinimonas,15,39,31,46,97,0,76,89,0,316,0,52,89,3,102,150,17,20,54,21,95,202,0,25,327,0,115,0,380,72,89,964,75,314,0,0,180,19,64,610,138,36,0,996,161,0,118,629,472,61,233,0,0,0,1268,54,91,130,33,2083,360,36,24,33,33,23,18,36,21
Lachnoclostridium,117,242,130,314,377,17,340,257,0,18146,5504,1886,638,134,520,176,0,549,84,583,571,1284,1938,2046,945,0,2892,4525,27,442,1089,345,1101,913,0,10011,503,38,996,853,90,92,0,2059,1381,0,126,10317,1284,0,120,37,0,248,1471,307,421,293,645,6688,1739,18,93,79,50,64,35,147,92
Lachnospira,136,2134,695,704,1640,112,3325,2473,0,1292,0,96,102,0,106,328,0,2036,32,0,43,832,0,0,0,0,0,12,32,0,729,43,756,266,0,0,81,0,85,0,39,0,0,34,0,0,19,0,162,0,0,0,0,0,0,259,0,47,0,608,25,330,1227,406,783,130,393,327,76
Lachnospiraceae_AC2044_group,5,8,7,0,10,3,0,8,0,0,0,0,0,0,0,0,0,472,89,0,26,0,0,0,0,0,0,0,0,10,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15,0,0,0,0,14,7,0
Lachnospiraceae_FCS020_group,0,22,13,28,38,0,20,38,0,0,0,0,0,0,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,13,0,33,8,0,0,0,0,0,16,0,0,0,0,3,0,0,25,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,7,14,4,0,0,0
