Family,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Peptococcaceae,28,74,12,83,8,0,231,139,0,0,0,62,296,184,0,0,0,0,0,98,87,0,0,0,73,0,0,0,63,27,17,59,33,0,0,0,318,0,0,0,0,26,0,24,0,0,22,0,39,0,0,0,0,0,0,0,0,71,49,105,178,37,55,10,19,10,8,56,40
Peptostreptococcaceae,102,144,189,257,780,20,272,542,0,553,0,106,473,170,32,85,16,427,1086,361,289,193,2,397,1283,0,267,286,0,1616,26,830,182,206,0,3295,242,0,0,288,79,146,134,294,1104,0,114,2107,142,0,1130,9,0,2,232,3,162,85,3955,86,484,736,157,244,102,448,114,359,558
Porphyromonadaceae,297,672,233,917,1408,335,1524,1451,0,0,0,8004,3318,38,2966,2423,2454,2962,1720,967,5081,3359,0,987,1940,0,424,32,274,834,4521,1146,1125,1094,0,23,0,175,3443,1459,1344,1124,5174,4748,1287,27383,65,12467,7187,6087,28,0,0,833,1683,1999,531,159,81,2725,1728,1040,301,763,156,560,1600,1879,1756
Prevotellaceae,153,0,0,0,0,634,0,0,198,226,317,1582,4326,143,0,3,0,0,438,1117,804,0,0,23485,0,0,0,0,1580,0,0,0,0,0,36,64,0,1639,0,0,1008,1982,204,0,0,21,0,144,24975,37,0,19,0,0,0,0,0,30,0,0,153,323,0,0,0,0,3110,0,0
Rhodospirillaceae,0,0,0,0,0,29,57,87,0,0,0,0,271,363,216,645,3,0,0,242,0,265,0,0,397,0,0,0,9,24,0,5,0,0,0,0,0,0,0,0,237,14,0,0,0,0,29,0,0,0,4,0,0,0,0,0,39,0,0,66,0,0,0,0,0,0,71,17,5
Rikenellaceae,29,43,58,129,146,0,16,38,0,0,0,23,0,0,51,44,0,22,120,9,513,93,0,144,100,0,35,0,49,236,135,79,26,45,0,0,0,9,0,0,0,108,0,43,0,0,0,0,57,0,0,0,0,0,0,16,55,0,92,93,195,83,37,125,53,87,30,37,62
Ruminococcaceae,11698,21367,20611,16090,39384,5231,35991,33321,0,4184,384,14243,47547,16922,10953,4340,233,18032,24311,14231,35231,24779,2541,3940,24164,0,1107,301,15695,11105,13299,15795,3480,9780,0,9412,31077,2372,6078,5460,6568,14127,0,8267,5188,138,8802,11051,11094,150,8956,691,0,4738,10237,4076,9185,14561,11845,72449,39606,28554,10808,10214,12212,8342,16249,14790,5975
Streptococcaceae,0,760,753,175,203,0,696,434,0,1027,2234,143,903,429,805,43,17,1976,123,387,353,426,0,0,74,35,0,20,105,37,277,112,19,510,788,78,48,14,211,190,32,35,69,185,791,276,151,452,401,63,655,1336,0,106,50,234,20,103,19,320,72,0,310,31,171,23,8,118,31
Veillonellaceae,3508,63,55,897,710,186,156,124,7035,1139,6378,130,122,70,0,67,2480,561,1105,223,2,754,1652,443,6,15912,940,802,0,0,60,0,219,53,5855,2216,173,6,1424,13,116,393,13837,1642,176,600,49,243,9586,35,68,1753,8233,0,301,80,0,46,7,36,3,6329,24,591,28,164,541,78,52
Verrucomicrobiaceae,1011,41,49,1154,653,202,11,13,0,42841,3,7237,1043,10135,9037,14837,11096,181,0,10210,33,0,11475,1245,12089,0,7571,7458,3554,13732,5918,30942,11371,1151,15237,33952,20,102,9303,11414,7029,131,34535,2719,14249,20109,10691,8158,25676,19775,4335,11,0,4526,0,5239,10723,0,15228,24299,70404,3061,18,826,36,181,865,0,0
