Phylum,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinobacteria,202,323,680,870,764,48,456,595,0,117,249,23,122,62,203,334,33,324,1687,140,897,197,0,229,7513,11,2502,815,272,809,48,2387,438,481,4,1836,6912,12,273,8,382,559,0,68,64,57,207,12,1155,0,83,18,0,104,0,46,1754,3490,882,590,5865,429,216,628,475,171,139,177,97
Bacteroidetes,652,4739,2520,6784,22427,1807,10661,10014,198,389,334,18003,33685,5244,16295,15663,5805,37356,6913,15970,24372,39920,0,37340,11017,0,9331,15867,5259,4349,36140,17076,14953,14213,36,87,4552,2906,24286,1459,7731,9304,5378,11225,17050,27443,1531,12611,45974,6150,304,26,10388,7720,1683,13391,6407,3294,843,24801,15788,2088,3042,5205,2010,11839,8322,17634,18005
Firmicutes,23608,43136,39924,38936,76115,8722,72311,66127,13942,46915,22006,25034,67968,25719,20197,9549,6109,46689,38232,28991,60181,47620,16553,13312,48128,25819,22111,20793,26372,24691,32184,27538,11304,20222,8246,38417,66251,3379,19428,12438,11308,22718,17692,17327,17883,4187,16383,52160,32767,3473,19581,5785,10313,9285,15990,11855,20035,25891,28817,102148,74140,50953,23208,24203,24725,17129,28042,27448,11736
Fusobacteria,0,0,0,0,0,0,0,0,28189,5205,44088,1148,662,50,102,684,5990,35,0,212,3,207,0,0,0,0,0,9,0,0,0,0,624,0,0,57,0,0,307,0,0,0,6488,0,22,0,467,24,611,0,0,0,3821,0,32,0,0,0,0,509,28,0,0,0,0,0,0,0,0
Proteobacteria,134,83,77,340,731,138,375,398,2178,1081,554,661,1821,1511,1167,2094,1032,3289,414,820,1416,3163,660,3349,864,0,308,575,535,512,1963,607,867,281,3485,2061,1063,124,1886,1292,685,269,576,569,4043,2006,244,4403,1378,650,237,116,1688,359,327,606,852,694,191,2105,1911,510,94,258,38,194,595,409,243
Tenericutes,5464,29,128,442,524,1013,11,18,0,0,0,0,0,0,0,0,0,57,13,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,57,38,0,121,16163,25,291,129,107,5404,16,40
Verrucomicrobia,1011,41,49,1154,653,202,11,13,0,42841,3,7237,1043,10135,9037,14837,11096,181,15,10218,64,0,11475,1258,12089,0,7571,7458,3554,13732,5918,30942,11371,1151,15237,33952,20,102,9303,11414,7029,131,34535,2719,14249,20109,10691,8158,25676,19775,4335,11,0,4526,0,5239,10723,0,15228,24299,70404,3061,18,826,36,181,909,0,0
