Order,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinomycetales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.07346917612899e-05,0.0,0.00019734627305759028,0.0009743812678948869,0.00015363048028728898,3.836783240930804e-05,9.379983116030397e-05,0.0003445009043148739,0.0,0.0,0.0006740734499319909,0.0003179582838731556,0.00026631158455392814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024205055034651443,0.0,0.0001928055968710406,0.00015205078496217735,0.000155336515378315,0.0,0.0,0.00021674734484502568,0.0,0.0,0.0,0.0,0.0,0.0003094538140182577,0.00026033918476643864,0.0029686753565822703,0.0,0.0,0.0,0.0002460226340823355,0.0031039834454216243,0.0,0.0,0.0,0.00035935968637700104,0.0,0.0007447347254907801,0.0,0.0005633570584517301,0.0006067744583645644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacillales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014387937153490519,0.0,0.0,0.0,0.0,0.0002648145696161393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008697215542620849,0.0,0.0,0.0,0.0,0.0,0.0,0.018501810788487193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006962710815410799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02317614465727308,0.0,0.0006045783066311249,0.00969054502623407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroidales,0.0193685157228664,0.09808548069957569,0.05816694398225187,0.13875480651231284,0.22182328912099517,0.1480798255911454,0.1272241249686742,0.1298024576139367,0.0043913973651615815,0.002194026212228504,0.00475198249111814,0.34572619207650784,0.3147984729602703,0.12287777881999819,0.34260614934114203,0.36283821349147516,0.19316518035405297,0.44965513920820455,0.14433186365948777,0.2834087882822903,0.278801102434543,0.4443702343184728,0.0,0.6762532599246597,0.13877587010467712,0.0,0.2223872374062808,0.3487962289918279,0.14786593938030707,0.09773692608490459,0.4634669526746215,0.21753974724826733,0.3822830116323663,0.3914779926183001,0.0,0.0011155986104442624,0.057843573289281386,0.4455688439129102,0.4386605014088579,0.0,0.2848019491306435,0.27643490718444225,0.06366327918700487,0.35799712964439495,0.3297617205632058,0.5103205891103839,0.05224186173479834,0.12408599803557786,0.42722917344992795,0.21667136414881627,0.012465146793505,0.0034488704949129164,0.39783999080847154,0.3510846332257038,0.0936144176215374,0.4206795164978765,0.16303213822234663,0.0969942506479192,0.018411741580395758,0.17036741872543906,0.09391916812411512,0.02543031195061115,0.1144469525959368,0.16461100569259957,0.07333625218914185,0.3996826575740187,0.18938379875375036,0.3860839865131147,0.5979542359934907
Bifidobacteriales,0.0049143995117720725,0.004677636344820449,0.009220743205768177,0.01668984700973574,0.007477522922168476,0.002767063558611437,0.004821174982397934,0.005638512988023014,0.0,0.00040630115041268586,8.994288626722033e-05,0.00011522286021546675,0.0,0.0,0.001055034019464301,0.004123424759080802,0.0010980966325036606,0.000830554786523346,0.03383076140410375,0.0,0.007567753789618744,0.0005231813881004064,0.0,0.003785134743552595,0.08665146686485198,0.0,0.058088006323807714,0.017753695015308702,0.0027273238486194683,0.014225678135604648,0.0003351655717924656,0.028600183448838155,0.011018790745238401,0.012119208946179695,0.0,0.023116897788572878,0.08774382108139017,0.00045998160073597056,0.004479445126797197,0.0,0.012182066521466278,0.016246532752156546,0.0,0.0,0.000734952808293362,0.0007624218982445703,0.0,0.0,0.01037257546862645,0.0,0.0,0.0,0.0,0.0038655691482104683,0.0,0.0011434171839268213,0.03949209903559889,0.10322023295302213,0.012056087013497578,1.3740416059798294e-05,0.03179022260294345,0.00429289831963693,0.005492851768246802,0.019512966476913342,0.00974168126094571,0.005772931366260427,0.002746365105008078,0.0036125585672373774,0.002723257281392183
Burkholderiales,0.0013811711046156807,0.0017178929938942355,0.0008088371233129978,0.005849627750961301,0.006527996201893113,0.007043434512829115,0.0037948852584221357,0.003914553844558507,0.036279698232181065,0.01254890124560324,0.0,0.0,0.002724116101060872,0.005839039489728922,0.008935492205667042,0.019597850259451453,0.017602821775588983,0.007908326010809251,0.005278107512294381,0.00561029738126942,0.005489205328433627,0.024010686258139926,0.0,0.04929730512894815,0.0017131268343683482,0.0,0.0038805183606007627,0.008304147668450845,0.006860484732609796,0.0046519990111692925,0.01375519506636279,0.0029937831227068888,0.006979419659976992,0.0034154134302870048,0.0,0.0001835795181743723,0.00825973695914607,0.013646120821833793,0.025323314789393835,0.03976052848885219,0.0109269445162243,0.002712835675313195,0.0,0.0064423536915962365,0.058061271855175595,0.025829366260041665,0.001910871493892036,0.05178435010367783,0.009991162379645568,0.008490698985343855,0.005699524356240773,0.0,0.0,0.010095957069443813,0.0027811769941039036,0.007513884351519113,0.0018321076872185051,0.01209449194197027,0.00233695889573232,0.005654181208606998,0.003670390596185649,0.0014037096092781075,0.003536493604213695,0.006704617330803287,0.0011310566258026854,0.006076769859221501,0.008516039695361183,0.008582563383982134,0.007804456843014183
Campylobacterales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036031978380812973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008466031847643433,0.0,0.0,0.00013016959238321932,0.0,0.0,0.0,0.0,0.0,0.020003448870494916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridiales,0.6230687694729067,0.8595674221256339,0.8893048622665924,0.7593062259674385,0.7349930269131485,0.6919335904745931,0.8414740384500641,0.8410976305283351,0.0,0.33532614373773845,0.08964307664632958,0.4289555047721469,0.6259903696740651,0.5840680986774222,0.36611833606063215,0.17888250555967392,0.012644749101557301,0.4640634592005006,0.7677632694590472,0.48044385264092326,0.5782843362425355,0.4458841208882951,0.38866767680327,0.15368733700376705,0.5516016476249259,0.0003957731428345272,0.3526720482908951,0.2957333861979338,0.6527863690041051,0.5084162977279367,0.3630647539884701,0.29563289849164304,0.24133963952447904,0.4879634220239078,0.0006842285323297981,0.3424746519049905,0.6732193913209226,0.4852805887764489,0.2961491221732533,0.4182906688687037,0.3793421684078407,0.6297131709696101,0.012338961350724173,0.4498804018497848,0.26614962091907807,0.01022761083011009,0.49474510339179706,0.5828604168940303,0.2038978557142192,0.02790304396843292,0.7250287026406432,0.143645456113123,0.0012255371299452337,0.36631952339806273,0.8392479697407943,0.35132309702711534,0.42497264561439224,0.6463105841699187,0.589394137946097,0.6200294044903679,0.3585858585858587,0.5865189364514779,0.8500000000000001,0.7316255534471853,0.8831727962638647,0.5629452077917689,0.6100392337872145,0.5720103341069317,0.35966922387167466
Coriobacteriales,0.0015738926540969384,0.002007658077201697,0.006424477722314669,0.001104475169761924,7.912722668961348e-05,0.001257756163005199,0.0005608792677542151,0.001983201119925336,0.0,0.0,0.002038705422056994,0.00017283429032320012,0.0007577646900838339,0.0013600975518244073,0.002756007234518991,0.0034053002223869548,0.0,0.0004574069838824224,0.001610988638290655,0.0019529516200621397,0.0013321084060633902,0.0016363332776757392,0.0,0.0003622138510576645,0.007948404650635498,0.0,0.0016528133758114362,0.00019824225203198304,0.004920429623798009,0.0037980088545295186,0.0003083523260490684,0.0015669588259274356,0.0,0.00093648432765934,0.0,0.0025136272488490976,0.0,0.0013799448022079116,0.00016256050863376926,0.0,0.001919598360958323,0.0007010698936202637,0.0,0.0016265348429277625,0.00013538604363298777,3.7191312109491237e-05,0.003821742987784072,0.00016370184437411326,0.00024187171496348672,0.0,0.0030342791536821377,0.0,0.0,0.0008640683978352812,0.0,0.0,0.005140079900251917,0.0,0.006989035949853666,0.0034763252631289684,0.002492534294654436,0.001553620344249556,0.0026335590669676447,0.0003478810879190385,0.007589025102159953,0.0,0.0004615739672282484,0.0002627315321627184,0.0004981568197668627
Corynebacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22491149483419e-05,0.0,0.0,0.0,0.0,0.0,5.802259012842332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desulfovibrionales,0.002922943500465743,0.0,0.0002310963209465708,0.001104475169761924,0.0005934542001721012,0.0020962602716753315,0.0,0.00011665888940737272,0.0,0.0,0.0,0.012232826992875385,0.011989947627908766,0.01969796454366383,0.010141245370769101,0.013968680504077098,0.007986157327299348,0.0025759235408115365,0.0034975411226047114,0.004651575676875279,0.010771704180064312,0.008114877275004175,0.02191761513795412,0.011355404230657784,0.004169448398352377,0.0,0.0034972572879488355,0.0025551223595233364,0.007928920879491649,0.006315032474099378,0.008164633328864463,0.004675397472482673,0.011913588137543143,0.004324354101250483,0.096438210362261,0.01866862484819386,0.005248109790965118,0.005366452008586323,0.00874214290874937,0.013583815028901734,0.005611133670493559,0.005059895753954948,0.0,0.01170467230106841,0.02013383877456289,0.011343350193394827,0.0054255101344434595,0.00828058496125723,0.002735010930740965,0.012824126268320182,0.0038543546006232564,0.0,0.05786833135460151,0.006230387921233344,0.015407720547335626,0.0052270499836654695,0.007023079467670935,0.008579344037653789,0.0018346219368365877,0.00812058589134079,0.007697707344350453,0.00554669719394359,0.0,0.0014547754585705246,0.0002553998832457676,0.00047263765571722795,0.003577198246018926,0.0,0.0
