Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Brenneria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyricicoccus,94,618,587,321,170,18,589,468,0,313,0,492,488,5,329,59,0,21,50,163,148,601,0,74,82,0,223,0,35,9,260,131,196,133,0,0,0,0,214,0,18,37,0,312,96,0,151,78,0,0,77,0,0,40,21,68,54,0,8,78,65,321,422,137,490,55,53,309,178
Butyricimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,33,0,0,46,49,220,37,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,15,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,29,96,22,0,0,0,0,52,0,0
Campylobacter,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,7,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Soleaferrea,0,0,0,0,0,0,6,11,0,0,0,16,0,14,8,6,0,16,0,23,29,5,0,0,6,0,4,0,5,21,9,13,0,1,0,0,41,0,0,20,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,6,0,41,55,0,0,0,0,0,0,0,0
Candidatus_Stoquefichus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,71,7,0,0,0,0,0,0,0,0
Caproiciproducens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,35,314,0,0,0,0,0,0,0,0
Catabacter,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,52,0,0,0,26,0,0,0,0,26,0,30,0,0,0,0,0,0,0,0,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,56,45,85,0,0,0,0,0,0,0,0
Christensenella,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,46,0,0,0,0,0,0,0,0,0
Christensenellaceae_R-7_group,2410,3178,4823,2227,5670,944,3877,4890,0,0,0,157,1807,683,0,14,0,1719,1318,417,3865,30,0,51,8995,0,90,0,2594,4060,409,557,15,124,0,0,393,78,10,166,313,346,0,496,54,0,599,0,60,0,2497,0,0,50,0,60,1934,189,3107,1824,1363,2561,1953,1417,3155,759,2462,932,465
Cloacibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_1,70,0,0,67,126,20,90,40,0,3519,0,59,93,241,0,12,0,129,50,325,574,220,0,124,38,0,0,40,155,444,564,0,127,0,0,176,0,11,2078,0,96,46,79,0,3254,0,159,0,106,33,288,0,32,69,0,230,15,0,483,103,108,302,0,48,0,31,120,0,14
Clostridium_sensu_stricto_13,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,196,0,105,7,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_2,0,0,0,0,0,0,0,0,0,1566,0,0,0,0,0,0,0,0,0,0,21,0,520,82,0,0,0,0,0,0,0,0,0,0,0,6,4187,0,0,0,0,0,0,0,0,16,0,0,0,0,0,24,0,0,0,0,0,603,0,0,1114,0,0,0,0,0,0,0,0
Coprococcus_1,117,165,101,158,337,0,466,362,0,0,0,138,386,0,31,5,0,109,70,532,372,0,148,25,300,0,40,0,13,157,115,184,16,38,0,27,367,0,0,0,0,74,0,0,294,0,155,116,18,47,115,0,0,21,0,92,125,144,359,206,904,156,98,91,87,39,83,95,15
Coprococcus_2,259,1113,785,1885,2423,142,3616,2588,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,285,0,208,0,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,921,668,1484,527,991,576,3342,1292
Coprococcus_3,286,336,267,108,237,105,291,314,0,0,0,445,59,106,0,0,0,90,249,0,710,0,0,0,345,0,21,0,257,0,69,120,0,10,0,0,0,0,417,0,103,163,0,0,391,0,236,0,94,0,0,0,0,51,0,23,174,0,0,76,0,665,180,100,234,70,363,83,33
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defluviitaleaceae_UCG-011,19,1,25,0,5,2,24,0,0,0,0,0,0,0,0,0,0,0,16,0,14,5,0,0,35,0,0,0,23,0,0,90,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,18,106,34,38,0,4,24,0,5,33,12
Desulfovibrio,47,0,0,0,0,0,0,0,0,0,0,212,401,606,61,107,0,0,64,144,423,408,622,403,0,0,0,0,101,137,0,0,0,0,0,0,413,0,0,111,20,73,0,0,0,202,39,0,0,0,0,0,0,0,0,0,0,288,49,286,1040,198,0,0,0,0,52,0,0
Dialister,3508,0,0,886,681,186,0,0,1441,727,0,0,0,0,0,0,605,209,1088,0,0,0,0,0,0,0,157,0,0,0,0,0,14,0,0,0,0,0,48,0,53,392,6084,1436,0,0,0,0,8640,0,0,0,0,0,171,0,0,15,0,0,0,6325,0,584,0,164,541,0,0
Dielma,0,0,0,0,0,0,0,0,0,0,0,0,0,19,116,183,0,0,0,42,98,774,0,27,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0
Dorea,633,167,261,92,72,121,160,218,0,0,0,505,423,50,482,295,110,637,409,1358,231,1247,0,100,1142,0,149,0,390,72,422,619,96,235,0,0,0,26,224,0,75,400,0,0,423,0,173,0,477,0,167,0,0,84,0,181,506,16,0,644,11,1210,106,23,102,0,407,40,17
Eggerthella,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,20,182,0,43,9,0,0,0,38,0,0,0,178,0,0,0,0,0,0,0,0,0,0,72,0,0,0,74,0,0,7,0,0,66,0,0,279,165,0,0,0,0,0,0,0,0
Eisenbergiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,829,0,0,0,0,0,0,0,0
Enterococcus,0,0,0,0,0,0,0,0,3340,90,0,0,0,0,0,0,278,0,0,0,2467,0,1587,337,0,0,0,0,0,0,0,0,0,37,0,320,278,0,0,0,0,248,40,0,0,0,0,0,0,0,0,0,1932,0,0,0,0,95,0,0,80,0,0,0,0,0,0,0,0
Erysipelatoclostridium,0,36,37,0,0,0,19,14,0,3499,0,0,0,0,315,103,0,372,0,572,0,126,0,0,1439,0,776,1046,48,85,23,356,106,42,0,4825,57,24,37,151,91,0,0,422,41,0,0,0,30,0,15,45,0,51,278,0,1778,80,0,390,0,0,0,0,16,0,0,0,0
Erysipelotrichaceae_UCG-003,70,33,138,60,229,188,159,161,0,0,0,0,0,0,641,147,30,1837,0,0,0,631,0,0,19,0,244,91,0,45,2659,30,37,572,0,0,0,0,622,0,0,0,0,0,334,0,0,6930,0,0,0,0,0,736,0,312,235,0,27,148,0,44,11,14,0,26,634,34,21
Erysipelotrichaceae_UCG-004,0,0,0,7,50,6,0,0,0,0,0,0,0,0,0,0,0,25,22,0,15,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,49,0,0
Eubacterium,0,0,0,0,0,0,0,0,0,0,0,10,0,52,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faecalibacterium,3635,5980,4138,5780,11275,1332,16631,15737,0,2716,0,124,22439,2401,461,637,26,7337,7071,4724,4956,6940,0,851,57,0,61,0,3054,484,2213,486,519,2293,0,0,0,892,4937,0,3190,4110,0,0,2657,0,1308,0,4647,0,0,0,0,2136,0,1860,19,0,243,4646,58,5475,2251,3496,1888,2003,4312,7293,3085
Faecalitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,0,36,0,99,77,0,0,0,48,0,10,0,0,7417,0,0,331,0,6,0,0,0,35,0,224,0,0,0,0,0,0,0,0,53,2360,139,0,8698,0,0,0,0,0,0,0,0
