Order,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinomycetales,0,0,0,0,0,0,0,7,0,17,65,8,4,4,16,0,0,56,15,15,0,0,0,0,0,0,0,0,0,0,0,19,0,7,4,11,0,0,12,0,0,0,0,0,16,14,87,0,0,0,6,18,0,0,0,11,0,25,0,82,102,0,0,0,0,0,0,0,0
Bacillales,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,1456,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,778,0,88,1629,0,0,0,0,0,0,0,0
Bacteroidales,603,4739,2517,6784,22427,1766,10661,10014,195,189,317,18003,32819,5240,15912,15663,5805,37356,6809,15963,24278,39920,0,37340,11017,0,9284,15835,5259,4349,34570,17076,14953,14213,0,79,4552,2906,24286,0,7715,9069,3978,11225,17050,27443,1531,9096,45925,6150,304,20,10388,7720,1683,12877,6407,3256,843,24798,15788,1866,3042,5205,2010,11839,8206,17634,18005
Bifidobacteriales,153,226,399,816,756,33,404,435,0,35,6,6,0,0,49,178,33,69,1596,0,659,47,0,209,6879,0,2425,806,97,633,25,2245,431,440,0,1637,6905,3,248,0,330,533,0,0,38,41,0,0,1115,0,0,0,0,85,0,35,1552,3465,552,2,5344,315,146,617,267,171,119,165,82
Burkholderiales,43,83,35,286,660,84,318,302,1611,1081,0,0,284,249,415,846,529,657,249,316,478,2157,0,2722,136,0,162,377,244,207,1026,235,273,124,0,13,650,89,1402,963,296,89,0,202,3002,1389,56,3796,1074,241,139,0,0,222,50,230,72,406,107,823,617,103,94,212,31,180,369,392,235
Campylobacterales,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,7,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridiales,19398,41530,38482,37124,74310,8252,70513,64889,0,28886,5980,22337,65262,24907,17004,7722,380,38553,36220,27061,50357,40056,11030,8486,43790,10,14723,13426,23217,22623,27081,23206,9440,17716,18,24252,52979,3165,16396,10131,10276,20659,771,14106,13761,550,14499,42726,21918,792,17682,833,32,8055,15088,10754,16701,21696,26986,90249,60279,43037,22593,23134,24206,16675,26433,26126,10830
Coriobacteriales,49,97,278,54,8,15,47,153,0,0,136,9,79,58,128,147,0,38,76,110,116,147,0,20,631,0,69,9,175,169,23,123,0,34,0,178,0,9,9,0,52,23,0,51,7,2,112,12,26,0,74,0,0,19,0,0,202,0,320,506,419,114,70,11,208,0,20,12,15
Corynebacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfovibrionales,91,0,10,54,60,25,0,9,0,0,0,637,1250,840,471,603,240,214,165,262,938,729,622,627,331,0,146,116,282,281,609,367,466,157,2537,1322,413,35,484,329,152,166,0,367,1041,610,159,607,294,364,94,0,1511,137,277,160,276,288,84,1182,1294,407,0,46,7,14,155,0,0
