Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Ruminococcaceae_NK4A214_group,92,142,146,179,1375,144,631,338,1,1,1,372,247,22,1,1,1,257,152,290,591,518,1,177,1174,1,1,1,986,565,486,1087,168,674,1,1,1,361,1,1,170,218,1,1,1,1,1,1,393,25,51,1,1,53,1,85,445,1,737,1151,325,458,105,127,136,219,413,297,89
Ruminococcaceae_UCG-002,1254,905,1130,405,1071,790,1197,1159,1,1,1,1737,5706,2464,5129,2561,19,2848,2328,1978,9794,7861,1,59,632,1,1,1,3626,27,1844,92,203,1175,1,1,1,432,1,1,1163,2606,1,1,326,1,566,1,2775,1,725,1,1,157,1,373,398,1,1,13235,57,3165,819,218,980,160,2199,570,179
Ruminococcaceae_UCG-003,354,255,312,210,590,71,298,239,1,1,1,134,138,1,1,1,1,360,349,86,597,1,1,1,1,1,1,1,1,1,543,1,96,576,1,1,1,1,98,1,1,482,1,1,247,1,119,1,1,1,183,1,1,110,1,141,1,1,1,642,69,1374,202,242,242,171,291,272,168
Ruminococcaceae_UCG-004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,475,1,1,142,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,47,1,3,706,1,1,1,1,1,1,1,1
Ruminococcaceae_UCG-005,1025,159,166,224,1349,468,247,261,1,1,1,140,611,539,657,116,1,195,556,33,2036,1104,1,16,3800,1,1,1,1162,3174,429,3283,132,356,1,1,1248,192,1,1,472,630,1,1243,20,1,654,1,142,1,386,1,1,76,666,1,886,529,3806,23239,4578,3028,88,121,160,199,1180,110,67
Ruminococcaceae_UCG-007,1,1,14,10,16,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,12,11,1,1,10,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,41,12,13,1,1,13,1,1,1,1
Ruminococcaceae_UCG-009,17,11,9,1,16,1,5,1,1,1,1,1,122,1,1,1,1,40,1,70,1,1,1,1,51,1,1,1,16,46,45,1,13,9,1,1,1,1,20,1,1,1,1,1,125,1,1,1,1,1,1,1,1,26,1,6,1,1,45,5,1,1,1,8,8,12,1,5,6
Ruminococcaceae_UCG-010,207,37,110,52,42,132,12,23,1,1,1,1,1,1,1,1,1,11,173,1,633,1,1,1,46,1,1,1,1,177,37,19,1,53,1,1,1,1,1,1,1,58,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,85,1,2895,788,44,42,75,8,437,1,20
Ruminococcaceae_UCG-011,10,1,1,7,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6,1,1,1,1,1,1,1,1,27,6,14,1,11,1,6,1,1,1
Ruminococcaceae_UCG-013,28,236,195,355,243,1,939,484,1,1,1,1,218,1,112,32,3,152,20,35,1,195,1,1,386,1,61,1,74,19,152,420,51,165,1,1941,1,12,1,125,98,70,1,1074,1,1,321,17,1,1,558,1,1,31,349,32,38,1,34,902,15,48,162,255,145,69,1,557,116
Ruminococcaceae_UCG-014,660,2127,2508,2199,2588,242,2680,1945,1,1,1,1,1,1,1,1,1,785,1,1,1,1,1,1,1,1,1,1,2,372,1,1,1,1,1,1,1,1,1,1,1,1,1,137,1,1,1,1,1,1,26,1,1,455,137,11,1,1,1,1,1,2119,1332,1434,1646,515,813,1565,809
Ruminococcus_1,343,2207,1218,258,1813,319,3031,2817,1,1,1,1,438,68,1,1,1,2651,212,104,27,592,1,1,464,1,34,1,78,117,251,612,431,642,1,1,1,25,1,532,1,65,1,562,1,1,169,1,1,1,451,1,1,1,1,260,52,1,10,57,82,738,1549,226,1186,379,1090,1717,415
Ruminococcus_2,971,458,605,1488,13027,1026,430,485,1,1,1,9256,11643,9056,1,1,1,56,10136,4304,6838,1,1,1,3734,1,1,1,1,1259,952,4046,75,350,1,50,3367,1,1,1,1,2631,1,1,82,18,1,190,1,1,1,561,1,849,1,263,985,3447,1679,5475,5077,2052,499,897,439,3638,2658,898,388
Sarcina,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
